Country,Count
Brazil,88
Mexico,154
Singapore,39
United States of America,3296
Turkey,108
Egypt,110
India,990
Poland,35
Thailand,65
Nigeria,76
Norway,29
Iceland,9
United Kingdom,722
Japan,287
South Korea,212
Italy,90
Canada,412
Indonesia,80
Romania,12
Spain,215
South Africa,54
France,349
Portugal,4
Hong Kong,102
China,147
Germany,199
Argentina,82
Serbia,7
Denmark,44
Kenya,5
New Zealand,28
Pakistan,24
Australia,144
Taiwan,85
Netherlands,45
Philippines,78
United Arab Emirates,34
Iran,4
Belgium,85
Israel,26
Uruguay,14
Bulgaria,9
Chile,26
Russia,27
Mauritius,1
Lebanon,26
Colombia,45
Algeria,2
Soviet Union,3
Sweden,39
Malaysia,26
Ireland,40
Luxembourg,11
Finland,11
Austria,11
Peru,10
Senegal,3
Switzerland,17
Ghana,4
Saudi Arabia,10
Armenia,1
Jordan,8
Mongolia,1
Namibia,2
Qatar,7
Vietnam,5
Syria,1
Kuwait,7
Malta,3
Czech Republic,20
Bahamas,1
Sri Lanka,1
Cayman Islands,2
Bangladesh,3
"United States,",1
Zimbabwe,3
Hungary,9
Latvia,1
Liechtenstein,1
Venezuela,3
Morocco,6
Cambodia,4
Albania,1
Cuba,1
Nicaragua,1
Greece,10
"Cambodia,",1
Croatia,4
Guatemala,2
West Germany,5
"Poland,",1
Slovenia,3
Dominican Republic,1
Nepal,2
Samoa,1
Azerbaijan,1
Bermuda,1
Ecuador,1
Georgia,2
Botswana,1
Puerto Rico,1
Iraq,2
Vatican City,1
Angola,1
Ukraine,3
Jamaica,1
Belarus,1
Cyprus,1
Kazakhstan,1
Malawi,1
Slovakia,1
Lithuania,1
Afghanistan,1
Paraguay,1
Somalia,1
Sudan,1
Panama,1
"United Kingdom,",1
Uganda,1
East Germany,1
Montenegro,1
